City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,282.33,76,90,0.45,AU,1712094732
1,hawaiian paradise park,19.5933,-154.9731,299.19,80,75,7.2,US,1712094733
2,adamstown,-25.066,-130.1015,297.04,73,62,12.48,PN,1712094733
3,matthew town,20.95,-73.6667,299.59,69,97,7.31,BS,1712094733
4,albany,42.6001,-73.9662,281.38,82,100,0.45,US,1712094734
5,grytviken,-54.2811,-36.5092,277.02,75,18,3.97,GS,1712094734
6,vondrozo,-22.8167,47.2833,291.91,99,98,1.25,MG,1712094734
7,dryden,49.7833,-92.7503,278.31,48,100,3.09,CA,1712094734
8,piti village,13.4626,144.6933,300.54,87,75,3.09,GU,1712094734
9,san pedro ayampuc,14.7867,-90.4511,303.25,27,3,4.17,GT,1712094735
10,lormi,22.2833,81.7333,300.13,25,100,1.83,IN,1712094735
11,la passe,45.5549,-0.8967,285.28,92,100,8.69,FR,1712094735
12,nellikkuppam,11.7667,79.6833,298.97,90,71,3.26,IN,1712094735
13,wailua homesteads,22.0669,-159.378,300.39,70,75,9.26,US,1712094736
14,east london,-33.0153,27.9116,292.19,69,11,3.4,ZA,1712094736
15,margaret river,-33.95,115.0667,282.78,89,0,4.24,AU,1712094736
16,badger,64.8,-147.5333,263.14,61,75,3.6,US,1712094736
17,port-aux-francais,-49.35,70.2167,280.18,78,87,13.45,TF,1712094737
18,haiku-pauwela,20.9219,-156.3051,300.49,69,40,9.77,US,1712094737
19,punta arenas,-53.15,-70.9167,280.21,65,20,7.72,CL,1712094635
20,hit,33.6416,42.8251,297.67,21,0,2.9,IQ,1712094737
21,bredasdorp,-34.5322,20.0403,289.32,86,51,1.37,ZA,1712094737
22,kavaratti,10.5669,72.642,301.6,74,83,2.66,IN,1712094738
23,kakamigahara,35.4167,136.8667,287.73,66,75,0.51,JP,1712094738
24,invercargill,-46.4,168.35,287.6,80,100,2.24,NZ,1712094467
25,whitehorse,60.7161,-135.0538,275.98,51,75,2.57,CA,1712094738
26,belyy yar,53.6039,91.3903,278.09,60,0,3.0,RU,1712094738
27,gadzhiyevo,69.2551,33.3362,254.36,98,35,3.45,RU,1712094739
28,margate,51.3813,1.3862,283.32,92,100,4.47,GB,1712094739
29,olonkinbyen,70.9221,-8.7187,269.22,63,73,6.2,SJ,1712094739
30,aral,40.5156,81.2636,283.47,34,3,2.78,CN,1712094739
31,oyama,36.3,139.8,287.92,54,100,1.64,JP,1712094740
32,jamestown,42.097,-79.2353,285.92,87,100,5.14,US,1712094632
33,port alfred,-33.5906,26.891,289.36,87,70,0.45,ZA,1712094699
34,kourou,5.1552,-52.6478,302.18,85,24,3.35,GF,1712094740
35,atafu village,-8.5421,-172.5159,302.36,72,61,1.47,TK,1712094741
36,vila franca do campo,37.7167,-25.4333,291.42,99,88,9.1,PT,1712094741
37,college,64.8569,-147.8028,263.19,57,75,3.6,US,1712094741
38,touros,-5.1989,-35.4608,300.53,82,63,2.47,BR,1712094243
39,edinburgh of the seven seas,-37.0676,-12.3116,288.98,77,91,7.12,SH,1712094742
40,penzance,50.1186,-5.5371,285.53,88,88,13.61,GB,1712094696
41,ayabaca,-4.6398,-79.7149,281.7,95,100,0.28,PE,1712094742
42,nar'yan-mar,67.6713,53.087,253.21,93,5,3.58,RU,1712094742
43,puerto ayora,-0.7393,-90.3518,302.13,90,91,1.34,EC,1712094742
44,ust'-ilimsk,58.0006,102.6619,266.17,94,100,1.79,RU,1712094743
45,kamennomostskiy,44.2983,40.1856,287.77,58,81,2.61,RU,1712094743
46,kamthi,21.2333,79.2,299.34,21,89,2.32,IN,1712094743
47,lerwick,60.1545,-1.1494,278.15,62,100,12.98,GB,1712094743
48,tura,25.5198,90.2201,293.86,62,45,2.35,IN,1712094744
49,port elizabeth,-33.918,25.5701,291.66,76,0,7.2,ZA,1712094564
50,zheleznogorsk-ilimskiy,56.5768,104.1217,259.47,95,92,1.34,RU,1712094744
51,porto velho,-8.7619,-63.9039,305.18,62,40,1.03,BR,1712094645
52,afaahiti,-17.75,-149.2833,302.08,76,64,8.32,PF,1712094745
53,conduaga,8.862,117.4893,297.64,83,7,1.73,PH,1712094745
54,weno,7.4515,151.8468,300.12,94,100,4.63,FM,1712094745
55,lionel town,17.8101,-77.2406,304.09,62,99,5.11,JM,1712094745
56,port lincoln,-34.7333,135.8667,288.59,76,96,2.57,AU,1712094745
57,konarka,19.9,86.1167,300.37,87,0,7.64,IN,1712094746
58,aasiaat,68.7098,-52.8699,264.99,90,87,1.96,GL,1712094746
59,coquimbo,-29.9533,-71.3436,291.0,77,20,3.6,CL,1712094497
60,kristiansund,63.1115,7.732,273.18,64,40,7.72,NO,1712094746
61,gafargaon,24.4333,90.5667,296.71,95,67,1.74,BD,1712094746
62,mossel bay,-34.1831,22.146,290.24,88,66,1.23,ZA,1712094747
63,portland,45.5234,-122.6762,297.9,42,0,2.68,US,1712094530
64,okhotsk,59.3833,143.3,264.24,71,9,7.1,RU,1712094747
65,ushuaia,-54.8,-68.3,278.96,70,75,2.57,AR,1712094747
66,port mathurin,-19.6833,63.4167,299.8,81,100,7.17,MU,1712094747
67,camiri,-20.05,-63.5167,304.03,58,75,2.06,BO,1712094748
68,guerrero negro,27.9769,-114.0611,294.71,43,0,4.57,MX,1712094748
69,al jawf,29.5,38.75,294.57,24,3,4.87,SA,1712094748
70,iqaluit,63.7506,-68.5145,273.0,93,100,3.09,CA,1712094748
71,urengoy,65.9667,78.3667,270.82,96,100,9.37,RU,1712094749
72,dubinino,55.6192,89.0911,273.34,95,98,2.0,RU,1712094749
73,saldanha,-33.0117,17.9442,289.18,84,100,6.65,ZA,1712094749
74,plastun,44.7561,136.2939,274.76,56,27,1.7,RU,1712094749
75,san patricio,28.017,-97.5169,304.12,24,0,7.95,US,1712094749
76,sandnessjoen,66.0217,12.6316,267.27,53,20,5.66,NO,1712094750
77,susuman,62.7833,148.1667,255.26,78,9,1.17,RU,1712094751
78,kerikeri,-35.2268,173.9474,293.11,55,5,0.5,NZ,1712094751
79,daru,-9.0763,143.2092,300.48,85,80,0.87,PG,1712094751
80,prince rupert,54.3161,-130.3201,281.2,66,75,6.69,CA,1712094752
